Title, Director, Category, Hearts, Link
CLOSING MASTER CLASS Fernando Meirelles,,Industry Conference,59,https://2019.tiffr.com/shows/closing-master-class-fernando-meirelles
CMPA INDIESCREEN AWARDS,,Industry Conference,37,https://2019.tiffr.com/shows/cmpa-indiescreen-awards
Collective,Alexander Nanau,TIFF Docs,182,https://2019.tiffr.com/shows/collective
Color Out of Space,Richard Stanley,Midnight Madness,1563,https://2019.tiffr.com/shows/color-out-of-space
Comets,Tamar Shavgulidze,Discovery,289,https://2019.tiffr.com/shows/comets
Coming Home Again,Wayne Wang,Special Presentations,677,https://2019.tiffr.com/shows/coming-home-again
CONNECTIONS Co-Productions 1,,Industry Conference,36,https://2019.tiffr.com/shows/connections-co-productions-1
CONNECTIONS Co-Productions 2,,Industry Conference,36,https://2019.tiffr.com/shows/connections-co-productions-2
CONNECTIONS Documentary A,,Doc Conference,28,https://2019.tiffr.com/shows/connections-documentary-a
CONNECTIONS Documentary B,,Doc Conference,21,https://2019.tiffr.com/shows/connections-documentary-b
CONNECTIONS Short Cuts,,Doc Conference,30,https://2019.tiffr.com/shows/connections-short-cuts
CONNECTIONS TIFF Tech,,Industry Conference,20,https://2019.tiffr.com/shows/connections-tiff-tech
CONNECTIONS TV,,Industry Conference,58,https://2019.tiffr.com/shows/connections-tv
Coppers,Alan Zweig,TIFF Docs,245,https://2019.tiffr.com/shows/coppers
The Cordillera of Dreams,Patricio Guzmán,TIFF Docs,182,https://2019.tiffr.com/shows/the-cordillera-of-dreams
Corpus Christi,Jan Komasa,Contemporary World Cinema,316,https://2019.tiffr.com/shows/corpus-christi
The County,Grímur Hákonarson,Contemporary World Cinema,406,https://2019.tiffr.com/shows/the-county
Crazy World,IGG Nabwana,Midnight Madness,436,https://2019.tiffr.com/shows/crazy-world
Cunningham,Alla Kovgan,TIFF Docs,302,https://2019.tiffr.com/shows/cunningham
Daddio,Casey Wilson,Short Cuts,48,https://2019.tiffr.com/shows/daddio
Dads,Bryce Dallas Howard,TIFF Docs,595,https://2019.tiffr.com/shows/dads
Darling,Saim Sadiq,Short Cuts,21,https://2019.tiffr.com/shows/darling
Daughter,Daria Kashcheeva,Short Cuts,30,https://2019.tiffr.com/shows/daughter
David Foster: Off the Record,Barry Avrich,Special Events,194,https://2019.tiffr.com/shows/david-foster-off-the-record
Deerskin,Quentin Dupieux,Special Presentations,451,https://2019.tiffr.com/shows/deerskin
Delphine,Chloé Robichaud,Short Cuts,54,https://2019.tiffr.com/shows/delphine
The Depths,Ariane Louis-Seize,Short Cuts,44,https://2019.tiffr.com/shows/the-depths
Desert One,Barbara Kopple,TIFF Docs,324,https://2019.tiffr.com/shows/desert-one
Devil Between the Legs,Arturo Ripstein,Masters,329,https://2019.tiffr.com/shows/devil-between-the-legs
DIALOGUES 3 for 30: The Opening Scene,,Industry Conference,64,https://2019.tiffr.com/shows/dialogues-3-for-30-the-opening-scene
DIALOGUES Behind the Scenes with Bombay Rose,,Industry Conference,13,https://2019.tiffr.com/shows/dialogues-behind-the-scenes-with-bombay-rose
DIALOGUES Diaspora: Untold Stories| Hidden Cities,,Industry Conference,48,https://2019.tiffr.com/shows/dialogues-diaspora-untold-stories-hidden-cities
DIALOGUES Engage @ TIFF: Pan-Africanism in the Caribbean & Decolonizing the Screen,,Industry Conference,32,https://2019.tiffr.com/shows/dialogues-engage-tiff-pan-africanism-in-the-caribbean-decolonizing-the-screen
DIALOGUES Film Festivals: New Leadership| New Horizons,,Industry Conference,56,https://2019.tiffr.com/shows/dialogues-film-festivals-new-leadership-new-horizons
DIALOGUES Olsberg·SPI presents: TIFF Impact Report,,Industry Conference,7,https://2019.tiffr.com/shows/dialogues-olsberg-spi-presents-tiff-impact-report
DIALOGUES Redefining Quality for Gender Equality,,Industry Conference,50,https://2019.tiffr.com/shows/dialogues-redefining-quality-for-gender-equality
Dirt Music,Gregor Jordan,Special Presentations,534,https://2019.tiffr.com/shows/dirt-music
Disco,Jorunn Myklebust Syversen,Discovery,646,https://2019.tiffr.com/shows/disco
DOC CONFERENCE Industry Talks: Funding Under-represented Doc-Makers,,Industry Conference,32,https://2019.tiffr.com/shows/doc-conference-industry-talks-funding-under-represented-doc-makers
DOC CONFERENCE Industry Talks: Rising Voices in Documentary Curation,,Doc Conference,34,https://2019.tiffr.com/shows/doc-conference-industry-talks-rising-voices-in-documentary-curation
DOC CONFERENCE Industry Talks: Spotlight on SHOWTIME,,Industry Conference,27,https://2019.tiffr.com/shows/doc-conference-industry-talks-spotlight-on-showtime
DOC CONFERENCE Industry Talks: The New York Times and the Evolution of Shorts,,Doc Conference,42,https://2019.tiffr.com/shows/doc-conference-industry-talks-the-new-york-times-and-the-evolution-of-shorts
